{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
{'pid': 8, 'username': None, 'name': 'services.exe'}
{'pid': 84, 'username': None, 'name': 'csrss.exe'}
{'pid': 124, 'username': None, 'name': 'Registry'}
{'pid': 548, 'username': None, 'name': 'smss.exe'}
{'pid': 712, 'username': None, 'name': 'lsass.exe'}
{'pid': 776, 'username': None, 'name': 'svchost.exe'}
{'pid': 808, 'username': None, 'name': 'csrss.exe'}
{'pid': 1008, 'username': None, 'name': 'wininit.exe'}
{'pid': 1028, 'username': None, 'name': 'svchost.exe'}
{'pid': 1044, 'username': None, 'name': 'svchost.exe'}
{'pid': 1076, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 1108, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 1176, 'username': None, 'name': 'svchost.exe'}
{'pid': 1212, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'conhost.exe'}
{'pid': 1236, 'username': None, 'name': 'svchost.exe'}
{'pid': 1292, 'username': None, 'name': 'winlogon.exe'}
{'pid': 1348, 'username': None, 'name': 'fontdrvhost.exe'}
{'pid': 1404, 'username': None, 'name': 'WUDFHost.exe'}
{'pid': 1460, 'username': None, 'name': 'dwm.exe'}
{'pid': 1508, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'Music.UI.exe'}
{'pid': 1588, 'username': None, 'name': 'svchost.exe'}
{'pid': 1596, 'username': None, 'name': 'svchost.exe'}
{'pid': 1664, 'username': None, 'name': 'svchost.exe'}
{'pid': 1704, 'username': None, 'name': 'svchost.exe'}
{'pid': 1728, 'username': None, 'name': 'svchost.exe'}
{'pid': 1780, 'username': None, 'name': 'svchost.exe'}
{'pid': 1788, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'uihost.exe'}
{'pid': 1800, 'username': None, 'name': 'svchost.exe'}
{'pid': 1816, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'RuntimeBroker.exe'}
{'pid': 1892, 'username': None, 'name': 'svchost.exe'}
{'pid': 1932, 'username': None, 'name': 'igfxCUIService.exe'}
{'pid': 1948, 'username': None, 'name': 'svchost.exe'}
{'pid': 2104, 'username': None, 'name': 'svchost.exe'}
{'pid': 2208, 'username': None, 'name': 'svchost.exe'}
{'pid': 2232, 'username': None, 'name': 'svchost.exe'}
{'pid': 2252, 'username': None, 'name': 'SearchFilterHost.exe'}
{'pid': 2280, 'username': None, 'name': 'svchost.exe'}
{'pid': 2316, 'username': None, 'name': 'NVDisplay.Container.exe'}
{'pid': 2340, 'username': None, 'name': 'svchost.exe'}
{'pid': 2348, 'username': None, 'name': 'taskhostw.exe'}
{'pid': 2428, 'username': None, 'name': 'svchost.exe'}
{'pid': 2460, 'username': None, 'name': 'svchost.exe'}
{'pid': 2492, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'McUICnt.exe'}
{'pid': 2528, 'username': None, 'name': 'svchost.exe'}
{'pid': 2536, 'username': None, 'name': 'svchost.exe'}
{'pid': 2544, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'rundll32.exe'}
{'pid': 2608, 'username': None, 'name': 'svchost.exe'}
{'pid': 2624, 'username': None, 'name': 'svchost.exe'}
{'pid': 2668, 'username': None, 'name': 'svchost.exe'}
{'pid': 2696, 'username': None, 'name': 'svchost.exe'}
{'pid': 2704, 'username': None, 'name': 'MemCompression'}
{'pid': 2816, 'username': None, 'name': 'svchost.exe'}
{'pid': 2844, 'username': None, 'name': 'mcapexe.exe'}
{'pid': 2880, 'username': None, 'name': 'unsecapp.exe'}
{'pid': 2988, 'username': None, 'name': 'svchost.exe'}
{'pid': 3012, 'username': None, 'name': 'TiWorker.exe'}
{'pid': 3056, 'username': None, 'name': 'svchost.exe'}
{'pid': 3104, 'username': None, 'name': 'svchost.exe'}
{'pid': 3160, 'username': None, 'name': 'NVDisplay.Container.exe'}
{'pid': 3188, 'username': None, 'name': 'svchost.exe'}
{'pid': 3196, 'username': None, 'name': 'svchost.exe'}
{'pid': 3412, 'username': None, 'name': 'svchost.exe'}
{'pid': 3492, 'username': None, 'name': 'AsusLinkNear.exe'}
{'pid': 3500, 'username': None, 'name': 'mfemms.exe'}
{'pid': 3536, 'username': None, 'name': 'svchost.exe'}
{'pid': 3544, 'username': None, 'name': 'AsusOptimization.exe'}
{'pid': 3696, 'username': None, 'name': 'AsusSoftwareManager.exe'}
{'pid': 3708, 'username': None, 'name': 'svchost.exe'}
{'pid': 3728, 'username': None, 'name': 'spoolsv.exe'}
{'pid': 3932, 'username': None, 'name': 'svchost.exe'}
{'pid': 3952, 'username': None, 'name': 'AsusLinkNearExt.exe'}
{'pid': 3976, 'username': None, 'name': 'svchost.exe'}
{'pid': 4040, 'username': None, 'name': 'svchost.exe'}
{'pid': 4100, 'username': None, 'name': 'AsusLinkRemote.exe'}
{'pid': 4108, 'username': None, 'name': 'AsusSystemAnalysis.exe'}
{'pid': 4116, 'username': None, 'name': 'AsusSystemDiagnosis.exe'}
{'pid': 4124, 'username': None, 'name': 'svchost.exe'}
{'pid': 4136, 'username': None, 'name': 'ELANFPService.exe'}
{'pid': 4144, 'username': None, 'name': 'svchost.exe'}
{'pid': 4156, 'username': None, 'name': 'IntelCpHDCPSvc.exe'}
{'pid': 4164, 'username': None, 'name': 'svchost.exe'}
{'pid': 4172, 'username': None, 'name': 'esif_uf.exe'}
{'pid': 4180, 'username': None, 'name': 'OfficeClickToRun.exe'}
{'pid': 4208, 'username': None, 'name': 'ibtsiva.exe'}
{'pid': 4244, 'username': None, 'name': 'svchost.exe'}
{'pid': 4268, 'username': None, 'name': 'ICEsoundService64.exe'}
{'pid': 4288, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'NVIDIA Share.exe'}
{'pid': 4416, 'username': None, 'name': 'svchost.exe'}
{'pid': 4544, 'username': None, 'name': 'svchost.exe'}
{'pid': 4564, 'username': None, 'name': 'ModuleCoreService.exe'}
{'pid': 4612, 'username': None, 'name': 'nvcontainer.exe'}
{'pid': 4620, 'username': None, 'name': 'svchost.exe'}
{'pid': 4632, 'username': None, 'name': 'PEFService.exe'}
{'pid': 4640, 'username': None, 'name': 'mongod.exe'}
{'pid': 4648, 'username': None, 'name': 'sqlservr.exe'}
{'pid': 4656, 'username': None, 'name': 'mysqld.exe'}
{'pid': 4684, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'YourPhoneServer.exe'}
{'pid': 4788, 'username': None, 'name': 'RtkAudUService64.exe'}
{'pid': 4800, 'username': None, 'name': 'RstMwService.exe'}
{'pid': 4860, 'username': None, 'name': 'svchost.exe'}
{'pid': 4908, 'username': None, 'name': 'svchost.exe'}
{'pid': 4920, 'username': None, 'name': 'sqlwriter.exe'}
{'pid': 4928, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'sihost.exe'}
{'pid': 5076, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'svchost.exe'}
{'pid': 5088, 'username': None, 'name': 'svchost.exe'}
{'pid': 5148, 'username': None, 'name': 'svchost.exe'}
{'pid': 5164, 'username': None, 'name': 'IntelCpHeciSvc.exe'}
{'pid': 5212, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'chrome.exe'}
{'pid': 5220, 'username': None, 'name': 'svchost.exe'}
{'pid': 5500, 'username': None, 'name': 'svchost.exe'}
{'pid': 5588, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'svchost.exe'}
{'pid': 5708, 'username': None, 'name': 'mfevtps.exe'}
{'pid': 5720, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'igfxEM.exe'}
{'pid': 5852, 'username': None, 'name': 'jhi_service.exe'}
{'pid': 5868, 'username': None, 'name': 'svchost.exe'}
{'pid': 5948, 'username': None, 'name': 'SgrmBroker.exe'}
{'pid': 5988, 'username': None, 'name': 'svchost.exe'}
{'pid': 6008, 'username': None, 'name': 'svchost.exe'}
{'pid': 6016, 'username': None, 'name': 'MMSSHOST.exe'}
{'pid': 6040, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'taskhostw.exe'}
{'pid': 6268, 'username': None, 'name': 'svchost.exe'}
{'pid': 6284, 'username': None, 'name': 'ProtectedModuleHost.exe'}
{'pid': 6312, 'username': None, 'name': 'mysqld.exe'}
{'pid': 6608, 'username': None, 'name': 'conhost.exe'}
{'pid': 6708, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 6716, 'username': None, 'name': 'svchost.exe'}
{'pid': 6816, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'sublime_text.exe'}
{'pid': 6836, 'username': None, 'name': 'QcShm.exe'}
{'pid': 6868, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'ctfmon.exe'}
{'pid': 7616, 'username': None, 'name': 'svchost.exe'}
{'pid': 7708, 'username': None, 'name': 'svchost.exe'}
{'pid': 7780, 'username': None, 'name': 'rundll32.exe'}
{'pid': 8016, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'ShellExperienceHost.exe'}
{'pid': 8152, 'username': None, 'name': 'dllhost.exe'}
{'pid': 8204, 'username': None, 'name': 'svchost.exe'}
{'pid': 8232, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'ciscowebexstart.exe'}
{'pid': 8380, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'svchost.exe'}
{'pid': 8456, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'XboxAppServices.exe'}
{'pid': 8548, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'RuntimeBroker.exe'}
{'pid': 8564, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'AsusSoftwareManagerAgent.exe'}
{'pid': 8588, 'username': None, 'name': 'svchost.exe'}
{'pid': 8620, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'AsusOptimizationStartupTask.exe'}
{'pid': 8692, 'username': None, 'name': 'RtkAudUService64.exe'}
{'pid': 8892, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'nvcontainer.exe'}
{'pid': 8932, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'nvcontainer.exe'}
{'pid': 9084, 'username': None, 'name': 'svchost.exe'}
{'pid': 9360, 'username': None, 'name': 'svchost.exe'}
{'pid': 9404, 'username': None, 'name': 'svchost.exe'}
{'pid': 9416, 'username': None, 'name': 'TrustedInstaller.exe'}
{'pid': 9448, 'username': None, 'name': 'svchost.exe'}
{'pid': 9464, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'GameBarFTServer.exe'}
{'pid': 9700, 'username': None, 'name': 'svchost.exe'}
{'pid': 9764, 'username': None, 'name': 'GamingServicesNet.exe'}
{'pid': 9772, 'username': None, 'name': 'GamingServices.exe'}
{'pid': 9852, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'TextInputHost.exe'}
{'pid': 9856, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'SearchApp.exe'}
{'pid': 9892, 'username': None, 'name': 'svchost.exe'}
{'pid': 10116, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'svchost.exe'}
{'pid': 10128, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'explorer.exe'}
{'pid': 10188, 'username': 'LAPTOP-LFIQPF4K\\shree', 'name': 'SystemSettings.exe'}
{'pid': 10396, 'username': None, 'name': 'svchost.exe'}
